date	tt	title	year	directors	stars	plot
2013-11-22	tt1261945	Sex and the City 2	2010	Michael Patrick King	Sarah Jessica Parker,Kristin Davis,Cynthia Nixon	While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.
2013-11-23	tt1111422	The Taking of Pelham 123	2009	Tony Scott	Denzel Washington,John Travolta,Luis Guzmán	Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.
2013-11-24	tt1013743	Knight and Day	2010	James Mangold	Tom Cruise,Cameron Diaz,Peter Sarsgaard	A young woman gets mixed up with a disgraced spy who is trying to clear his name.
2013-11-29	tt1486185	Red Riding Hood	2011	Catherine Hardwicke	Amanda Seyfried,Gary Oldman,Billy Burke	A woman learns that she has a connection to the werewolf tormenting her village.
2013-11-30	tt0425061	Get Smart	2008	Peter Segal	Steve Carell,Anne Hathaway,Dwayne Johnson	Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.
2013-12-01	tt0468569	The Dark Knight	2008	Christopher Nolan	Christian Bale,Heath Ledger,Aaron Eckhart	When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.
2013-12-06	tt0436339	G-Force	2009	Hoyt Yeatman	Bill Nighy,Will Arnett,Zach Galifianakis	A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.
2013-12-07	tt0241527	Harry Potter and the Sorcerer's Stone	2001	Chris Columbus	Richard Harris,Maggie Smith,Robbie Coltrane	An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.
2013-12-08	tt1375666	Inception	2010	Christopher Nolan	Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page	A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.
2013-12-16	tt1670345	Now You See Me	2013	Louis Leterrier	Jesse Eisenberg,Mark Ruffalo,Woody Harrelson	An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.
2013-12-18	tt3729818	Angel Warriors	2013	Huayang Fu	Collin Chou,Yu Nan,Xing Yu	Five girls from the city go on a rural getaway surrounded by lush jungles and beautiful beaches. But there's trouble in paradise when an excursion into the forest leads the five girls into a dangerous encounter with local criminals, who are endangering the surrounding ancient cultural relics. However, these aren't docile city girls who cower to danger; these vicious vixens decide to take action.
2013-12-27	tt0844471	Cloudy with a Chance of Meatballs	2009	Phil Lord,Christopher Miller	Bill Hader,Anna Faris,James Caan	A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know that things are about to take a turn for the worst.
2014-01-03	tt1414382	You Again	2010	Andy Fickman	Kristen Bell,Jamie Lee Curtis,Sigourney Weaver	When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.
2014-01-10	tt0480249	I Am Legend	2007	Francis Lawrence	Will Smith,Alice Braga,Charlie Tahan	Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.
2014-01-12	tt0117500	The Rock	1996	Michael Bay	Sean Connery,Nicolas Cage,Ed Harris	An FBI chemical weapons expert, and a former SAS soldier turned political prisoner, must break into Alcatraz prison when a rogue military group, led by a renegade general, take it over and threaten a nerve gas attack on San Francisco.
2014-01-19	tt0448157	Hancock	2008	Peter Berg	Will Smith,Charlize Theron,Jason Bateman	Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.
2014-01-24	tt1231580	Alvin and the Chipmunks: The Squeakquel	2009	Betty Thomas	Zachary Levi,David Cross,Jason Lee	The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.
2014-01-26	tt0441773	Kung Fu Panda	2008	Mark Osborne,John Stevenson	Jack Black,Dustin Hoffman,Angelina Jolie	To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.
2014-01-28	tt1392170	The Hunger Games	2012	Gary Ross	Stanley Tucci,Wes Bentley,Jennifer Lawrence	Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
2014-02-13	tt1951264	The Hunger Games: Catching Fire	2013	Francis Lawrence	Jennifer Lawrence,Liam Hemsworth,Jack Quaid	Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
2014-02-15	tt0970866	Little Fockers	2010	Paul Weitz	Robert De Niro,Ben Stiller,Owen Wilson	Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?
2014-02-23	tt0493464	Wanted	2008	Timur Bekmambetov	James McAvoy,Morgan Freeman,Angelina Jolie	A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.
2014-02-24	tt1988689	Lan Kwai Fong	2011	Wilson Chin	Shiga Lin,Zhiming Shen,Jeana Ho	Lan Kwai Fong (LKF), a well-known party location in Hong Kong with loads of nightclubs and bars. Everyone likes to go to LKF for fun, one night stands or even true love. LKF has captured the joys and sorrows of many... One night, Steven - a regular of LKF met the flight attendant - Jennifer. They had sex on the first night they met but both could feel love come along.
2014-03-01	tt0796366	Star Trek	2009	J.J. Abrams	Chris Pine,Zachary Quinto,Leonard Nimoy	The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
2014-03-07	tt1010048	Slumdog Millionaire	2008	Danny Boyle,Loveleen Tandan	Dev Patel,Saurabh Shukla,Anil Kapoor	When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers.
2014-03-08	tt1621039	Free Birds	2013	Jimmy Hayward	Owen Wilson,Woody Harrelson,Amy Poehler	A pair of turkeys discover a time machine and decide to use it to travel to the first Thanksgiving, to take turkeys off the menu forever.
2014-03-09	tt1234721	RoboCop	2014	José Padilha	Joel Kinnaman,Gary Oldman,Michael Keaton	In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.
2014-03-15	tt1193631	Step Up 3D	2010	Jon M. Chu	Rick Malambri,Adam Sevani,Sharni Vinson	A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.
2014-03-16	tt1228705	Iron Man 2	2010	Jon Favreau	Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle	With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.
2014-03-16	tt0414982	Final Destination 3	2006	James Wong	Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche	Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.
2014-03-16	tt1144884	The Final Destination	2009	David R. Ellis	Bobby Campo,Shantel VanSanten,Nick Zano	A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.
2014-03-19	tt1622979	Final Destination 5	2011	Steven Quale	Nicholas D'Agosto,Emma Bell,Miles Fisher	Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.
2014-03-22	tt1245526	RED	2010	Robert Schwentke	Bruce Willis,Mary-Louise Parker,Heidi von Palleske	When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover the assailants.
2014-03-23	tt1130884	Shutter Island	2010	Martin Scorsese	Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley	Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
2014-03-28	tt0887883	Burn After Reading	2008	Ethan Coen,Joel Coen	George Clooney,Frances McDormand,Brad Pitt	A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
2014-03-29	tt1068680	Yes Man	2008	Peyton Reed	Jim Carrey,Zooey Deschanel,Bradley Cooper	A man challenges himself to say "yes" to everything.
2014-03-30	tt1650062	Super 8	2011	J.J. Abrams	Joel Courtney,Jessica Tuck,Joel McKinnon Miller	During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.
2014-04-04	tt1193138	Up in the Air	2009	Jason Reitman	George Clooney,Vera Farmiga,Anna Kendrick	Ryan's job is to travel around the country firing off people. When his boss hires Natalie, who proposes firing people via video conference, he tries to convince her that her method is a mistake.
2014-04-05	tt0368891	National Treasure	2004	Jon Turteltaub	Nicolas Cage,Diane Kruger,Justin Bartha	A historian races to find the legendary Templar Treasure before a team of mercenaries.
2014-04-06	tt1270798	X-Men: First Class	2011	Matthew Vaughn	James McAvoy,Laurence Belcher,Michael Fassbender	In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.
2014-04-07	tt3444184	From Vegas to Macau	2014	Siu-Hung Chung,Jing Wong	Chow Yun-Fat,Nicholas Tse,Chapman To	The story starts with small-time conman Cool (Nicholas Tse), whose undercover policeman half-brother (Phillip Ng) is murdered by Ko (Gao Hu), the head of an illegal gambling syndicate. Cool seeks the help of "Magic Hands" Ken (Chow Yun Fat), a legendary gambler turned casino security consultant, to battle Ko.
